Наименование;URL;Артикул;Бренд;Path;Коллекция;Тип;Назначение;Управление;Установка;Ширина;Высота;Глубина;Материал;Дизайн;Цвет;Количество монтажных отверстий;Тип излива;Форма излива;Длина излива;Смеситель в комплекте;Ручной душ;Шланг в комплекте;Стандарт подводки;Длина шланга;Верхний душ в комплекте;Страна производителя;Тропический душ в комплекте;Количество режимов душа;Диаметр лейки;Термостат;Размер верхнего душа;Вес;Количество режимов верхнего душа
Душевой гарнитур Cezares Legend KD-02;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_legend_legend_kd_02/;LEGEND-KD-02;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Legend;Душевой гарнитур;Для душа;;На стену;;;;Латунь;Модерн;Бронза;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;3;
Верхний душ Cezares Margot CZR-SP5-22-NLC;https://www.aquanet.ru/product/verkhniy_dush_cezares_margot_czr_sp5_22_nlc/;CZR-SP5-22-NLC;Cezares;Главная @ Душевые системы @ Верхние души ;Margot;Верхний душ;Для душа;;На душевую стойку;217;60;217;Нержавеющая сталь;Модерн;Хром / Черный;;;;;;;;01.фев;;;Италия;Да;;;;217;3;
Штанга для душа Grohe Tempesta Cosmopolitan 27521000;https://www.aquanet.ru/product/shtanga_dlya_dusha_grohe_tempesta_cosmopolitan_27521000/;27521000;Grohe;Главная @ Душевые системы @ Штанги для душа ;Tempesta Cosmopolitan;Штанга для душа;Для душа;;На стену;;620;61;Алюминий;Модерн;Хром;2;;;;;;;;;;Германия;;;;;;0.56;
Верхний душ с держателем Paffoni Syncro ZSOF075NO + ZSOF063NO;https://www.aquanet.ru/product/verkhniy_dush_s_derzhatelem_paffoni_syncro_zsof075no_zsof063no/;ZSOF075NO + ZSOF063NO;Paffoni;Главная @ Душевые системы @ Верхние души ;Syncro;Верхний душ;Для душа;;На стену;220;100;400;Нержавеющая сталь/латунь;Модерн;Черный матовый;;;;;;;;01.фев;;;Италия;Нет;;;;200;02.июн;
Душевая стойка Cezares City F-CD-01;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_city_city_f_cd_01/;CITY-F-CD-01;Cezares;Главная @ Душевые системы @ Душевые стойки ;City;Душевая стойка;Для душа;Однорычажное;На стену;200;1385;450;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Гигиенический душ Cezares Atlantis IFS-01;https://www.aquanet.ru/product/gigienicheskiy_dush_cezares_atlantis_ifs_01/;ATLANTIS-IFS-01;Cezares;Главная @ Душевые системы @ Гигиенический душ ;Atlantis;Гигиенический душ;Для унитаза;Однорычажное;На стену;;152;;Латунь;Модерн;Хром;;;;;;;Есть;01.фев;1200;1200;Италия;;;;;;4;
Гигиенический душ Cezares First KS-01-Bi;https://www.aquanet.ru/product/gigienicheskiy_dush_cezares_first_ks_01_bi/;FIRST-KS-01-Bi;Cezares;Главная @ Душевые системы @ Гигиенический душ ;First;Гигиенический душ;Для унитаза;Вентильное;На стену;;;;Латунь;Модерн;Хром;;;;;;;Есть;01.фев;1200;1200;Италия;;;;;;2;
Гигиенический душ Cezares First KS-01-M;https://www.aquanet.ru/product/gigienicheskiy_dush_cezares_first_ks_01_m/;FIRST-KS-01-M;Cezares;Главная @ Душевые системы @ Гигиенический душ ;First;Гигиенический душ;Для унитаза;Вентильное;На стену;;;;Латунь;Модерн;Хром;;;;;;;Есть;01.фев;1200;1200;Италия;;;;;;2;
Душевая стойка Cezares Golf CD-01-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_golf_cd_01_m/;GOLF-CD-01-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Golf;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая лейка Cezares Articoli Vari DEF-01-Bi;https://www.aquanet.ru/product/dushevaya_leyka_cezares_articoli_vari_def_01_bi/;DEF-01-Bi;Cezares;Главная @ Душевые системы @ Душевые лейки ;Articoli Vari;Душевая лейка;Для душа;;На шланг;;;;Латунь;Модерн;Хром/белый;;;;;;;Есть;01.фев;;;Италия;;;;;;1;
Душевая стойка Cezares Diamond CVD-01-Sw;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_diamond_cvd_01_sw/;DIAMOND-CVD-01-Sw;Cezares;Главная @ Душевые системы @ Душевые стойки ;Diamond;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1293;458;Латунь;Модерн;Хром;3;Фиксированный;Традиционная;145;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая лейка Cezares Articoli Vari DEF-01-BLC;https://www.aquanet.ru/product/dushevaya_leyka_cezares_articoli_vari_def_01_blc/;DEF-01-BLC;Cezares;Главная @ Душевые системы @ Душевые лейки ;Articoli Vari;Душевая лейка;Для душа;;На шланг;;;;Латунь;Модерн;Белый;;;;;;;Есть;01.фев;;;Италия;;;;;;1;
Душевая стойка Cezares Golf CVD-01-M;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_golf_cvd_01_m/;GOLF-CVD-01-M;Cezares;Главная @ Душевые системы @ Душевые стойки ;Golf;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1293;458;Латунь;Модерн;Хром;3;Фиксированный;Каскадная;150;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares Golf CD-02-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_golf_cd_02_bi/;GOLF-CD-02-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Golf;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Бронза/белый;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевой гарнитур Cezares Golf SD-01-Bi;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_golf_sd_01_bi/;GOLF-SD-01-Bi;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Golf;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Хром/белый;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Гигиеническая лейка Cezares Articoli Vari CZR-ID5-01;https://www.aquanet.ru/product/gigienicheskaya_leyka_dlya_unitaza_cezares_articoli_vari_czr_id5_01/;CZR-ID5-01;Cezares;Главная @ Душевые системы @ Гигиенические лейки ;Articoli Vari;Гигиеническая лейка;Для унитаза;Однорычажное;На шланг;61;138;;Латунь;Модерн;Хром;;;;;;;Нет;01.фев;;;Италия;;;;;;0.73;
Душевая стойка Cezares Diamond CD-01-Sw;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_diamond_cd_01_sw/;DIAMOND-CD-01-Sw;Cezares;Главная @ Душевые системы @ Душевые стойки ;Diamond;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares Golf CD-01-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_golf_cd_01_bi/;GOLF-CD-01-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Golf;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Хром/белый;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая стойка Cezares First CVD-01-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_first_cvd_01_bi/;FIRST-CVD-01-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;First;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1293;458;Латунь;Модерн;Хром/белый;3;Фиксированный;Традиционная;150;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая лейка Cezares Articoli Vari DEF-01-M;https://www.aquanet.ru/product/dushevaya_leyka_cezares_articoli_vari_def_01_m/;DEF-01-M;Cezares;Главная @ Душевые системы @ Душевые лейки ;Articoli Vari;Душевая лейка;Для душа;;На шланг;;;;Латунь;Модерн;Хром;;;;;;;Есть;01.фев;;;Италия;;;;;;1;
Душевая стойка Cezares First CVD-02-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_first_cvd_02_bi/;FIRST-CVD-02-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;First;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1293;458;Латунь;Модерн;Бронза/белый;3;Фиксированный;Традиционная;150;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Гигиенический душ Cezares Golf KS-02;https://www.aquanet.ru/product/gigienicheskiy_dush_cezares_golf_ks_02/;GOLF-KS-02;Cezares;Главная @ Душевые системы @ Гигиенический душ ;Golf;Гигиенический душ;Для унитаза;Вентильное;На стену;;;;Латунь;Модерн;Бронза;;;;;;;Есть;01.фев;1200;1200;Италия;;;;;;2;
Шланг для душа Cezares Articoli Vari CZR-F-FMDC-01;https://www.aquanet.ru/product/gibkiy_shlang_dlya_dusha_cezares_articoli_vari_czr_f_fmdc_01/;CZR-F-FMDC-01;Cezares;Главная @ Душевые системы @ Шланги для душа ;Articoli Vari;Гибкий шланг для душа;Для душа;;;;;;Латунь;;Хром;;;;;;;;;;;Италия;;;;;;0.3;
Гигиенический душ Cezares Diamond KS-01-Sw-N;https://www.aquanet.ru/product/gigienicheskiy_dush_cezares_diamond_ks_01_sw_n/;DIAMOND-KS-01-Sw-N;Cezares;Главная @ Душевые системы @ Гигиенический душ ;Diamond;Гигиенический душ;Для унитаза;;На стену;;;;Латунь;Модерн;Хром;;;;;;;Есть;01.фев;1200;1200;Италия;;;;;;2;
Душевая стойка Cezares Atlantis Nostalgia CD-02;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_atlantis_nostalgia_cd_02/;ATLANTIS-NOSTALGIA-CD-02;Cezares;Главная @ Душевые системы @ Душевые стойки ;;Душевая стойка;Для душа;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Бронза;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевой гарнитур Cezares First SD-03/24-Bi;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_first_sd_03_24_bi/;FIRST-SD-03/24-Bi;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;First;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Золото/белый;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Elite CAE-01-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_elite_cae_01_bi/;ELITE-CAE-01-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Elite;Душевая стойка;Для ванны с душем;;На стену;200;1300;360;Латунь;Модерн;Хром/белый;2;;;;Нет;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Гигиенический душ Cezares Diamond KS-01-Sw;https://www.aquanet.ru/product/gigienicheskiy_dush_cezares_diamond_ks_01_sw/;DIAMOND-KS-01-Sw;Cezares;Главная @ Душевые системы @ Гигиенический душ ;Diamond;Гигиенический душ;Для унитаза;;На стену;;;;Латунь;Модерн;Хром;;;;;;;Есть;01.фев;1200;1200;Италия;;;;;;2;
Душевая стойка Cezares Giubileo CD-01;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_giubileo_cd_01/;GIUBILEO-CD-01;Cezares;Главная @ Душевые системы @ Душевые стойки ;Giubileo;Душевая стойка;Для ванны с душем;Однорычажное;На стену;;;;Латунь;Модерн;Хром;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;;6;
Душевая стойка Cezares First CD-01-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_first_cd_01_bi/;FIRST-CD-01-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;First;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Хром/белый;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевой гарнитур Cezares Golf SD-02-M;https://www.aquanet.ru/product/dushevoy_garnitur_cezares_golf_sd_02_m/;GOLF-SD-02-M;Cezares;Главная @ Душевые системы @ Душевые гарнитуры ;Golf;Душевой гарнитур;Для душа;;На стену;120;620;117;Латунь;Модерн;Бронза;2;;;;Нет;Есть;;;1500;1500;Италия;;;;;;4;
Душевая стойка Cezares Golf CVD-01-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_golf_cvd_01_bi/;GOLF-CVD-01-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;Golf;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1293;458;Латунь;Модерн;Хром/белый;3;Фиксированный;Каскадная;150;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
Душевая лейка Cezares Articoli Vari DEF-03/24-Bi;https://www.aquanet.ru/product/dushevaya_leyka_cezares_articoli_vari_def_03_24_bi/;DEF-03/24-Bi;Cezares;Главная @ Душевые системы @ Душевые лейки ;Articoli Vari;Душевая лейка;Для душа;;На шланг;;;;Латунь;Модерн;Золото/белый;;;;;;;Есть;01.фев;;;Италия;;;;;;1;
Душевая стойка Cezares First CD-02-Bi;https://www.aquanet.ru/product/dushevaya_stoyka_cezares_first_cd_02_bi/;FIRST-CD-02-Bi;Cezares;Главная @ Душевые системы @ Душевые стойки ;First;Душевая стойка;Для ванны с душем;Двухвентильное;На стену;200;1290;455;Латунь;Модерн;Бронза/белый;3;;;;Да;Есть;Есть;01.фев;1500;1500;Италия;Да;;;Нет;200;6;
